Year,Team,Conf,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD
2008,Holy Cross,Pat,-1.03,101.3,102.3,59.6,-2.88,101.5,104.4
2008,George Washington,A10,-1.10,100.9,102.0,63.4,+5.51,107.4,101.9
2008,UNC Asheville,BSth,-1.21,107.2,108.4,64.4,-5.78,101.1,106.9
2008,Mount St. Mary's,NEC,-1.32,99.3,100.6,66.1,-5.35,101.6,106.9
2008,East Tennessee St.,ASun,-1.38,103.9,105.3,71.3,-3.07,102.0,105.1
2008,Vermont,AE,-1.73,101.0,102.7,68.8,-5.82,101.4,107.2
2008,Albany,AE,-1.82,103.1,104.9,63.4,-5.85,100.2,106.1
2008,TCU,MWC,-1.87,100.7,102.5,66.7,+0.09,101.9,101.8
2008,Central Michigan,MAC,-2.06,103.1,105.2,67.9,+2.54,104.3,101.8
2008,New Orleans,SB,-2.07,104.7,106.7,68.2,-3.36,101.8,105.2
2008,UT Arlington,Slnd,-2.31,101.3,103.6,68.6,-4.81,99.5,104.3
2008,Buffalo,MAC,-2.46,100.6,103.1,71.2,+0.96,103.7,102.8
2008,Eastern Michigan,MAC,-2.48,104.7,107.2,62.4,-1.21,103.1,104.3
2008,Rutgers,BE,-2.52,96.2,98.8,64.6,+5.88,106.7,100.8
2008,Elon,SC,-2.63,98.0,100.6,61.8,+0.21,104.3,104.1
2008,Lafayette,Pat,-2.64,106.5,109.2,68.6,-4.88,99.2,104.1
2008,Weber St.,BSky,-2.72,99.6,102.4,63.9,-5.06,102.0,107.0
2008,High Point,BSth,-2.76,103.3,106.0,61.9,-6.36,100.5,106.8
2008,Gardner Webb,ASun,-2.97,103.6,106.6,70.1,-5.49,100.4,105.9
2008,William & Mary,CAA,-2.99,100.3,103.3,61.4,-1.04,102.2,103.2
2008,Fresno St.,WAC,-3.02,98.8,101.8,66.6,-2.72,103.1,105.8
2008,Northwestern,B10,-3.20,105.3,108.5,61.0,+8.25,107.4,99.1
2008,Colgate,Pat,-3.20,98.1,101.3,63.9,-5.71,100.2,105.9
2008,Little Rock,SB,-3.28,95.0,98.3,64.7,-5.46,101.0,106.5
2008,Wyoming,MWC,-3.32,100.8,104.1,68.6,+2.35,104.3,102.0
2008,Louisiana,SB,-3.42,97.6,101.0,63.5,-2.34,103.4,105.8
2008,Montana,BSky,-3.52,106.9,110.4,62.2,-3.97,101.9,105.8
2008,Lipscomb,ASun,-3.59,101.3,104.9,66.2,-6.32,99.8,106.1
2008,Purdue Fort Wayne,Sum,-3.85,100.5,104.4,65.6,+1.56,105.0,103.5
2008,Loyola Chicago,Horz,-3.88,100.1,104.0,60.3,+2.28,104.3,102.0
2008,Navy,Pat,-3.92,101.5,105.4,73.3,-8.48,97.3,105.7
2008,Team,Conf,AdjEM,AdjO,AdjD,AdjT,AdjEM,OppO,OppD
2008,Central Connecticut,NEC,-3.96,104.3,108.3,62.5,-6.62,100.5,107.1
2008,Murray St.,OVC,-3.97,104.3,108.3,63.8,-8.80,100.8,109.6
2008,Wofford,SC,-4.05,106.7,110.8,61.2,+1.17,104.0,102.9
2008,Bowling Green,MAC,-4.30,100.5,104.8,63.7,+0.84,103.9,103.1
2008,Liberty,BSth,-4.55,103.6,108.2,62.3,-6.02,101.8,107.8
2008,Alabama St.,SWAC,-4.55,102.0,106.5,64.3,-13.98,94.8,108.8
2008,Delaware,CAA,-4.57,97.7,102.3,64.9,-0.86,101.7,102.6
2008,Southeastern Louisiana,Slnd,-4.59,95.9,100.5,64.1,-4.98,99.5,104.5
2008,Sacred Heart,NEC,-4.74,101.7,106.4,67.9,-6.52,100.1,106.6
2008,Fairfield,MAAC,-4.97,105.2,110.1,60.5,-1.15,103.1,104.3
2008,Jacksonville,ASun,-5.02,102.1,107.1,66.1,-5.98,100.0,106.0
2008,Hampton,MEAC,-5.15,94.4,99.6,66.5,-9.14,97.6,106.8
2008,LIU,NEC,-5.17,100.6,105.8,69.4,-7.44,99.4,106.8
2008,Hofstra,CAA,-5.17,97.9,103.0,67.2,-2.29,101.5,103.7
2008,Utah Valley,ind,-5.22,105.0,110.2,60.6,-6.71,100.2,107.0
2008,James Madison,CAA,-5.33,103.9,109.3,68.6,-3.45,101.6,105.0
2008,Evansville,MVC,-5.47,98.8,104.3,62.8,+3.48,105.6,102.2
2008,St. Bonaventure,A10,-5.58,104.7,110.2,64.8,+2.25,104.7,102.5
2008,Iona,MAAC,-5.70,95.2,100.9,66.3,-2.49,103.0,105.5
2008,Southern Utah,Sum,-5.82,102.2,108.0,64.7,-1.39,104.2,105.6
2008,Toledo,MAC,-5.85,94.1,99.9,64.3,+3.89,106.0,102.1
2008,Youngstown St.,Horz,-5.88,97.9,103.8,67.2,+3.76,105.2,101.4
2008,Florida Atlantic,SB,-5.88,102.7,108.6,68.6,-4.02,101.2,105.2
2008,Binghamton,AE,-5.89,100.0,105.9,62.3,-5.84,101.5,107.4
2008,East Carolina,CUSA,-6.08,103.8,109.9,65.2,+1.09,103.5,102.5
2008,Boston University,AE,-6.08,97.2,103.3,63.1,-4.37,101.9,106.3
2008,Pepperdine,WCC,-6.39,99.9,106.3,72.7,+1.33,104.0,102.6
2008,Wagner,NEC,-6.44,97.1,103.6,67.4,-8.81,99.5,108.3
2008,Tennessee St.,OVC,-6.76,104.1,110.8,68.6,-6.32,102.1,108.4
2008,Montana St.,BSky,-6.95,104.8,111.8,66.4,-4.18,101.3,105.5
2008,Hawaii,WAC,-7.02,102.2,109.2,66.8,-3.48,101.6,105.1
2008,Yale,Ivy,-7.15,99.9,107.1,65.4,-4.77,101.4,106.2
2008,Denver,SB,-7.16,98.4,105.5,55.2,-1.93,102.9,104.8
2008,Ball St.,MAC,-7.21,95.7,102.9,61.1,+1.36,104.1,102.7
2008,Northern Colorado,BSky,-7.22,100.0,107.3,67.7,-4.78,101.3,106.1
2008,McNeese St.,Slnd,-7.26,96.6,103.8,65.2,-2.46,100.8,103.3
2008,Quinnipiac,NEC,-7.37,104.8,112.2,66.6,-7.16,99.3,106.4
2008,Manhattan,MAAC,-7.41,101.8,109.3,66.0,-4.72,100.6,105.4
2008,Troy,SB,-7.42,104.5,111.9,70.2,-1.83,103.2,105.1
2008,Towson,CAA,-7.45,99.2,106.7,65.5,-2.97,101.4,104.4
2008,Team,Conf,AdjEM,AdjO,AdjD,AdjT,AdjEM,OppO,OppD
2008,Bucknell,Pat,-7.46,95.8,103.3,62.2,-2.53,101.8,104.3
2008,Nicholls St.,Slnd,-7.52,94.9,102.4,64.8,-0.72,102.8,103.5
2008,Western Carolina,SC,-7.58,98.6,106.1,63.3,-0.50,104.1,104.6
2008,Hartford,AE,-7.73,102.4,110.1,66.5,-5.23,100.5,105.8
2008,Oregon St.,P10,-7.91,95.3,103.3,65.1,+7.87,108.7,100.8
2008,Tennessee Martin,OVC,-8.10,106.1,114.2,68.1,-7.99,100.2,108.2
2008,Eastern Washington,BSky,-8.11,96.3,104.4,64.0,-2.47,102.5,104.9
2008,Tennessee Tech,OVC,-8.17,99.9,108.1,69.9,-7.20,101.1,108.3
2008,Lehigh,Pat,-8.26,96.6,104.8,64.2,-6.99,98.8,105.8
2008,Detroit Mercy,Horz,-8.32,100.7,109.0,60.3,+1.91,104.2,102.3
2008,Georgia St.,CAA,-8.47,98.3,106.8,62.2,-2.80,101.4,104.2
2008,Northwestern St.,Slnd,-8.60,98.5,107.1,72.6,-2.35,101.0,103.3
2008,San Francisco,WCC,-8.63,99.1,107.7,65.9,-0.72,102.9,103.6
2008,VMI,BSth,-8.65,105.4,114.1,77.7,-7.36,99.7,107.0
2008,Western Illinois,Sum,-8.66,98.4,107.1,66.1,-1.58,104.7,106.3
2008,Drexel,CAA,-8.68,90.8,99.4,64.4,-2.48,102.1,104.6
2008,UMKC,Sum,-8.72,100.0,108.7,65.9,-0.81,104.4,105.2
2008,San Jose St.,WAC,-8.83,97.9,106.7,66.7,-2.39,103.6,106.0
2008,FIU,SB,-8.94,93.0,102.0,66.3,-1.33,103.6,104.9
2008,Texas St.,Slnd,-9.08,100.9,110.0,78.0,-6.26,98.9,105.2
2008,Columbia,Ivy,-9.20,97.3,106.5,61.9,-6.83,99.9,106.8
2008,Chicago St.,ind,-9.36,102.3,111.6,70.9,+2.04,105.5,103.4
2008,Army,Pat,-9.47,89.3,98.8,62.9,-6.08,100.6,106.7
2008,Colorado St.,MWC,-9.76,101.8,111.6,63.6,+4.67,105.0,100.3
2008,Northern Illinois,MAC,-9.81,96.9,106.7,69.4,+1.59,103.9,102.3
2008,Cal Poly,BW,-9.83,95.1,105.0,65.2,-1.16,103.4,104.5
2008,Portland,WCC,-9.88,98.9,108.8,62.6,-1.27,102.1,103.4
2008,Louisiana Monroe,SB,-10.02,102.1,112.1,65.1,+1.14,103.8,102.7
2008,Arkansas St.,SB,-10.29,104.9,115.2,64.1,-2.61,102.8,105.4
2008,Stetson,ASun,-10.29,93.7,104.0,64.5,-8.05,99.4,107.4
2008,Texas A&M Corpus Chris,Slnd,-10.42,96.7,107.1,63.6,-2.54,101.6,104.2
2008,South Dakota St.,Sum,-10.66,99.0,109.6,64.5,-3.37,103.1,106.5
2008,Delaware St.,MEAC,-11.16,101.3,112.5,55.5,-6.23,99.3,105.5
2008,New Hampshire,AE,-11.35,97.2,108.5,65.1,-6.18,100.9,107.1
2008,Saint Peter's,MAAC,-11.42,94.8,106.2,67.1,-3.37,103.0,106.3
2008,Eastern Kentucky,OVC,-11.48,97.6,109.1,60.0,-7.78,101.1,108.9
2008,Central Arkansas,Slnd,-11.66,94.2,105.8,65.1,-6.19,99.5,105.7
2008,Harvard,Ivy,-11.73,99.7,111.5,67.0,-4.91,100.6,105.5
2008,Team,Conf,AdjEM,AdjO,AdjD,AdjT,AdjEM,OppO,OppD
2008,Mercer,ASun,-11.85,97.6,109.5,70.9,-8.20,99.6,107.8
2008,UTSA,Slnd,-11.88,94.6,106.5,63.4,-2.28,101.5,103.8
2008,SMU,CUSA,-12.04,95.0,107.0,64.5,-0.07,103.0,103.0
2008,USC Upstate,ASun,-12.15,93.7,105.8,63.4,-1.21,102.9,104.1
2008,Coastal Carolina,BSth,-12.35,99.1,111.5,63.7,-5.01,102.5,107.5
2008,Morehead St.,OVC,-12.64,95.3,107.9,62.6,-7.16,101.8,109.0
2008,Campbell,ASun,-12.69,96.1,108.8,68.5,-7.61,100.7,108.3
2008,Penn,Ivy,-12.72,96.1,108.8,68.4,-5.54,100.9,106.5
2008,Norfolk St.,MEAC,-13.04,97.0,110.0,68.7,-12.79,95.4,108.2
2008,Furman,SC,-13.31,95.3,108.6,64.0,-0.40,104.0,104.4
2008,Idaho,WAC,-13.40,96.3,109.7,64.2,-1.81,103.2,105.0
2008,Presbyterian,ind,-13.62,97.6,111.2,58.5,+6.20,106.1,99.9
2008,UC Riverside,BW,-13.65,93.7,107.3,61.8,-1.52,102.7,104.3
2008,Idaho St.,BSky,-14.07,95.8,109.9,60.0,-1.07,103.4,104.5
2008,Radford,BSth,-14.36,95.9,110.2,68.2,-2.97,103.0,106.0
2008,Coppin St.,MEAC,-14.41,92.4,106.8,62.9,-7.38,98.1,105.5
